Epoch,Train Loss,Validation Loss
1,0.9869741980846112,0.9515804499387741
2,0.9153454762238723,0.8542623668909073
3,0.7442006193674527,0.5701749473810196
4,0.5105209511059982,0.3899969905614853
5,0.36200591234060436,0.32236552238464355
6,0.32870577848874605,0.2949773743748665
7,0.2997321348923903,0.320098876953125
8,0.27300729889136094,0.2672096714377403
9,0.29362850235058713,0.24842852726578712
10,0.27790850515549,0.27543989568948746
11,0.2602617878180284,0.21297790110111237
12,0.23576109684430635,0.26432645320892334
13,0.2238729103253438,0.20409975945949554
14,0.23516528996137473,0.19125764444470406
15,0.20714397384570196,0.22152059897780418
16,0.2249479087499472,0.270964652299881
17,0.19889733424553505,0.17052290216088295
18,0.19182498638446516,0.1925000101327896
19,0.19897010578558996,0.1905057206749916
20,0.21648027117435747,0.2487301491200924
