Epoch,Train Loss,Validation Loss
1,0.02948594498202989,0.028425912752766208
2,0.028851549974864436,0.02897711230213182
3,0.02846460937181567,0.02711179390372265
4,0.02787290269644338,0.028359834738262465
5,0.027442114113510253,0.02723178627496973
6,0.027058731083919232,0.0283642415041314
7,0.026652032653462693,0.026372106223458185
8,0.026387110479260074,0.026918997755157468
9,0.026223315268680266,0.02622607877585374
10,0.025818002478740082,0.02616327882728033
11,0.025656653524850283,0.025380430483541692
12,0.025435070078563233,0.02596877653030375
13,0.02510244373586916,0.02487070720670815
14,0.024913319575957448,0.025715604795605168
15,0.024807413637446693,0.024551979686252605
16,0.024555830409012755,0.02399952820639936
17,0.02429328541280725,0.024597752018175777
18,0.024091836757360395,0.024963957693119695
19,0.023921977029529803,0.024220354071255765
20,0.02381695762794829,0.024121153733242574
21,0.023576824928057336,0.024893858158648162
22,0.023550351203902434,0.023766182063329488
23,0.02340770398271282,0.023546678342279935
24,0.023287299240736248,0.023332429393883188
25,0.02321576078137602,0.025614999750988524
26,0.022927305918831128,0.02311121520159164
27,0.022841446679599003,0.02297559167844311
28,0.022723334745380252,0.024261407541078434
29,0.02271290158358097,0.023772329770327363
30,0.022496816218552883,0.023460894785261244
31,0.022431598916850554,0.02255400267609379
32,0.022473921779692548,0.022484149545767253
33,0.022341940654231642,0.022286491698695156
34,0.02225620335511826,0.02323212667804837
35,0.02209006062939875,0.022771088085265685
36,0.02208234247375737,0.022968679799565246
37,0.021996084927933705,0.02241832608903261
38,0.02203983301588598,0.023824667033358924
39,0.021802787743695547,0.022296875916925588
40,0.021705532699291194,0.02217186127595585
41,0.02169511195150832,0.02262862484650056
42,0.02168335510105044,0.02381121680597987
43,0.021637508781967605,0.021747753778962712
44,0.021502201325425827,0.024479432843326775
45,0.02136538121779274,0.02179657663580469
46,0.021323632647430427,0.021747545999262416
47,0.021266154289819806,0.02253806687527357
48,0.0211709532663833,0.021815674671702517
49,0.021168172936349695,0.020977761777103844
50,0.02107982177119282,0.02250569891277934
