Epoch,Train Loss,Validation Loss
1,1.0019386410713196,0.9919473528862
2,0.983863115310669,0.9818341135978699
3,0.9765317142009735,0.9611063003540039
4,0.9542271792888641,0.9474570751190186
5,0.9310242235660553,0.9192725419998169
6,0.898983359336853,0.867542028427124
7,0.8564120531082153,0.8195770978927612
8,0.8019233196973801,0.7590100765228271
9,0.7400398999452591,0.6913744807243347
10,0.6837195158004761,0.6334413886070251
11,0.6195696443319321,0.58669513463974
12,0.5531176626682281,0.5092011094093323
13,0.4919780492782593,0.4411485493183136
14,0.4277237430214882,0.37080907821655273
15,0.36210135370492935,0.33832159638404846
16,0.3257462829351425,0.32073134183883667
17,0.33752281963825226,0.29345348477363586
18,0.32982922345399857,0.29209810495376587
19,0.2989279292523861,0.30708205699920654
20,0.32765211164951324,0.31807926297187805
