Epoch,Train Loss,Validation Loss
1,0.596534013748169,0.5690544545650482
2,0.5718620877999526,0.57127346098423
3,0.5602131027441758,0.5703104734420776
4,0.5378272854364835,0.5256545096635818
5,0.546680395419781,0.5285563468933105
6,0.553219355069674,0.5329851806163788
7,0.5429008603096008,0.5356068909168243
8,0.5574867725372314,0.5571223646402359
9,0.5398032160905691,0.5414915978908539
10,0.536278628385984,0.5345166176557541
11,0.5530578173123873,0.5443267822265625
12,0.5413815654241122,0.5256412327289581
13,0.5409667216814481,0.5192420780658722
14,0.5365962431981013,0.5231967717409134
15,0.5201117809002216,0.5429053157567978
16,0.5482228627571692,0.5089649707078934
17,0.5437531379552988,0.5620843768119812
18,0.5382715280239398,0.49349990487098694
19,0.5265606595919683,0.4820021092891693
20,0.5204370296918429,0.5424291789531708
