Epoch,Train Loss,Validation Loss
1,0.6669942154884339,0.5978934150189161
2,0.5738533477783203,0.5621588751673698
3,0.5529981241226196,0.563038595020771
4,0.5408432340621948,0.5417308174073696
5,0.5397851796150207,0.5309735015034676
6,0.5400187621116638,0.5328408200293779
7,0.5244675569534302,0.5316210631281137
8,0.5219315271377564,0.5068491064012051
9,0.5145914278030396,0.5244215521961451
10,0.5185320110321044,0.5154366288334131
11,0.5143064565658569,0.5321715530008078
12,0.5075542254447937,0.522019986063242
13,0.5075637302398681,0.5018557030707598
14,0.5091635708808899,0.4984886199235916
15,0.5093063788414002,0.50336654484272
16,0.5053257527351379,0.5061983447521925
17,0.5048332715034485,0.49894683063030243
18,0.5011146359443664,0.4935393948107958
19,0.5020473337173462,0.48991549387574196
20,0.5012472858428955,0.49403249472379684
